Parameters,Algorithms,Value
SVM,Precision,90.53109176091998
SVM,Recall,88.07356655247432
SVM,F1 Score,88.04536825140902
SVM,Accuracy,88.25
KNN,Precision,97.4078332994579
KNN,Recall,97.30772757203705
KNN,F1 Score,97.33065657506556
KNN,Accuracy,97.33333333333334
Decision Tree,Precision,93.36349967536536
Decision Tree,Recall,92.3086861210439
Decision Tree,F1 Score,92.3603828483599
Decision Tree,Accuracy,92.41666666666667
Random Forest,Precision,95.98431262693467
Random Forest,Recall,95.6081785068307
Random Forest,F1 Score,95.65430558031734
Random Forest,Accuracy,95.66666666666667
XGBoost,Precision,100.0
XGBoost,Recall,100.0
XGBoost,F1 Score,100.0
XGBoost,Accuracy,100.0
DNN,Precision,91.7963224893918
DNN,Recall,90.47619047619048
DNN,F1 Score,90.26842916227393
DNN,Accuracy,90.33333333333333
LSTM,Precision,92.60766879688802
LSTM,Recall,92.6054195527327
LSTM,F1 Score,92.5833281828668
LSTM,Accuracy,92.58333333333333
Extension CNN,Precision,98.93821105661762
Extension CNN,Recall,98.90517032999091
Extension CNN,F1 Score,98.91611795137956
Extension CNN,Accuracy,98.91666666666666
